src,tgt,src_lang,tgt_lang,domain
you can &apos;t use flash in mobiles while the object is near. it will show white screen .,ನೀವು ವಸ್ತು ಹತ್ತಿರದಲ್ಲಿರುವಾಗ  ಮೊಬೈಲ್‌ಗಳಲ್ಲಿ ಫ್ಲ್ಯಾಷ್ ಅನ್ನು ಬಳಸಲಾಗುವುದಿಲ್ಲ. ಅದು ಬಿಳಿ ಪರದೆಯನ್ನು ತೋರಿಸುತ್ತದೆ.,English,Kannada,E
i thinking want to change mobile in next three months,ನಾನು  ಮುಂದಿನ ಮೂರೂ ತಿಂಗಳಲ್ಲಿ ಮೊಬೈಲ್ ಬದಲಾಯಿಸಲು ಯೋಚಿಸುತ್ತಿದ್ದೇನೆ.,English,Kannada,E
this is bad product .,ಇದು ಕೆಟ್ಟ ಉತ್ಪನ್ನವಾಗಿದೆ.,English,Kannada,E
in this mobile privacy not secure.and flipkart easy return policy is froud policy .,ಈ ಮೊಬೈಲ್ ಗೌಪ್ಯತೆ ಸುರಕ್ಷಿತವಾಗಿಲ್ಲ. ಮತ್ತು ಫ್ಲಿಪ್‌ಕಾರ್ಟ್ ಸುಲಭ ಹಿಂತಿರುಗಿಸುವ ನೀತಿಯು ವಂಚನೆಯ ನೀತಿಯಾಗಿದೆ.,English,Kannada,E
one new problem created phone not locked .,ಫೋನ್ ಲಾಕ್ ಆಗದಿರುವ ಕಾರಣ ಒಂದು ಹೊಸ ಸಮಸ್ಯೆ ಸೃಷ್ಟಿಯಾಗಿದೆ.,English,Kannada,E
am getting trouble front camera,ನನಗೆ ಮುಂಭಾಗದ ಕ್ಯಾಮೆರಾದಲ್ಲಿ ತೊಂದರೆಯಾಗುತ್ತಿದೆ.,English,Kannada,E
it &apos;s not working properly .,ಅದು ಸರಿಯಾಗಿ ಕೆಲಸ ಮಾಡುತ್ತಿಲ್ಲ.,English,Kannada,E
sometimes the device suddenly struck .,ಕೆಲವೊಮ್ಮೆ ಸಾಧನವು ಇದ್ದಕ್ಕಿದ್ದಂತೆ ಹೊಡೆದಿದೆ.,English,Kannada,E
and i asked in helpline in online but they didn't say proper solutions to me .,ಮತ್ತು ನಾನು ಆನ್‌ಲೈನ್‌ನಲ್ಲಿ ಸಹಾಯವಾಣಿಯಲ್ಲಿ ಕೇಳಿದೆ ಆದರೆ ಅವರು ನನಗೆ ಸರಿಯಾದ ಪರಿಹಾರಗಳನ್ನು ಹೇಳಲಿಲ್ಲ.,English,Kannada,E
finally i wasted money to buy this device .,ಕೊನೆಗೂ ನಾನು ಈ ಸಾಧನವನ್ನು ಖರೀದಿಸಲು ಹಣವನ್ನು ವ್ಯರ್ಥ ಮಾಡಿದೆ.,English,Kannada,E
"flipkart doing it &apos;s not fair business , we are not fooles to purchase product on-line especially on flipkart. after expiring exchange / refund time u r sending sorry seller not excepted u r request , it &apos;s not fair .","ಫ್ಲಿಪ್‌ಕಾರ್ಟ್ ಮಾಡುತ್ತಿರುವುದು ನ್ಯಾಯಯುತ ವ್ಯವಹಾರವಲ್ಲ, ಆನ್‌ಲೈನ್‌ನಲ್ಲಿ, ವಿಶೇಷವಾಗಿ ಫ್ಲಿಪ್‌ಕಾರ್ಟ್‌ನಲ್ಲಿ ಉತ್ಪನ್ನವನ್ನು ಖರೀದಿಸಲು ನಾವು ಮೂರ್ಖರಲ್ಲ.ನೀವು ವಿನಿಮಯ / ಮರುಪಾವತಿ ಸಮಯ ಮುಗಿದ ನಂತರ  ಕಳುಹಿಸುತ್ತಿದ್ದೀರಿ, ಕ್ಷಮಿಸಿ ಮಾರಾಟಗಾರ ನಿಮ್ಮ ವಿನಂತಿಯನ್ನು ಹೊರತುಪಡಿಸಿಲ್ಲ, ಇದು ನ್ಯಾಯಯುತವಲ್ಲ.",English,Kannada,E
"not getting updates , update patch is of april , not getting proper battery backups .","ನವೀಕರಣಗಳು ಸಿಗುತ್ತಿಲ್ಲ, ನವೀಕರಣ ಪ್ಯಾಚ್ ಏಪ್ರಿಲ್ ಆಗಿದೆ, ಸರಿಯಾದ ಬ್ಯಾಟರಿ ಬ್ಯಾಕಪ್‌ಗಳು ಸಿಗುತ್ತಿಲ್ಲ.",English,Kannada,E
worst mobile i have ever purchased .,ನಾನು ಅತ್ಯಂತ ಕೆಟ್ಟ ಮೊಬೈಲ್  ಖರೀದಿಸಿದೆ.,English,Kannada,E
the phone is good it &apos;s battery is awesome nice camera and it comes with a nice processor happy with this phone so far so good thanks flipkart for such a good service,"ಫೋನ್ ಚೆನ್ನಾಗಿದೆ. ಇದರ ಬ್ಯಾಟರಿ ಅದ್ಭುತವಾಗಿದೆ ಉತ್ತಮ ಕ್ಯಾಮೆರಾ ಮತ್ತು ಇದು ಉತ್ತಮ ಪ್ರೊಸೆಸರ್‌ನೊಂದಿಗೆ ಬರುತ್ತದೆ ಈ ಫೋನ್‌ನಿಂದ ಇಲ್ಲಿಯವರೆಗೆ ಸಂತೋಷವಾಗಿದೆ, ತುಂಬಾ ಚೆನ್ನಾಗಿದೆ,ಆದ್ದರಿಂದ ಉತ್ತಮ ಸೇವೆಗಾಗಿ ಫ್ಲಿಪ್‌ಕಾರ್ಟ್‌ಗೆ ಧನ್ಯವಾದಗಳು.",English,Kannada,E
the product is superb n thanks flipkart for its super fast delivery .,ಉತ್ಪನ್ನವು ಅದ್ಭುತವಾಗಿದೆ ಮತ್ತು ಅದರ ಅತಿ ವೇಗದ ವಿತರಣೆಗಾಗಿ ಫ್ಲಿಪ್‌ಕಾರ್ಟ್‌ಗೆ ಧನ್ಯವಾದಗಳು.,English,Kannada,E
i got it in 2 days,ನನಗೆ 2 ದಿನಗಳಲ್ಲಿ ಸಿಕ್ಕಿತು.,English,Kannada,E
it &apos;s an amazing phone,ಇದು ಅದ್ಭುತ ಫೋನ್ ಆಗಿದೆ.,English,Kannada,E
super mobile 6 gb ram 64 gb storage + dedicated slot + dual volte,ಸೂಪರ್ ಮೊಬೈಲ್ 6 ಜಿಬಿ ರ್ಯಾಮ್ 64 ಜಿಬಿ ಸ್ಟೋರೇಜ್ + ಡೆಡಿಕೇಟೆಡ್ ಸ್ಲಾಟ್ + ಡ್ಯುಯಲ್ ವೋಲ್ಟ್,English,Kannada,E
awesome phone at this price .,ಈ ಬೆಲೆಯಲ್ಲಿ ಅದ್ಭುತ ಫೋನ್.,English,Kannada,E
some bugs are there but what the phone offers is more than you can can ask at this price .,ಕೆಲವು ದೋಷಗಳಿವೆ ಆದರೆ ಈ ಬೆಲೆಯಲ್ಲಿ ನೀವು ಕೇಳುವುದಕ್ಕಿಂತ ಹೆಚ್ಚಿನದನ್ನು ಫೋನ್ ನೀಡುತ್ತದೆ.,English,Kannada,E
the device is defective that send to me,"ಸಾಧನವು ದೋಷಪೂರಿತವಾಗಿದೆ, ಅದನ್ನು ನನಗೆ ಕಳುಹಿಸಿ.",English,Kannada,E
do not buy this mobile .,ಈ ಮೊಬೈಲ್ ಖರೀದಿಸಬೇಡಿ.,English,Kannada,E
"i am just using this mobile for one week , but facing lot of problems .","ನಾನು ಈ ಮೊಬೈಲ್ ಅನ್ನು ಕೇವಲ ಒಂದು ವಾರದಿಂದ ಬಳಸುತ್ತಿದ್ದೇನೆ, ಆದರೆ ಬಹಳಷ್ಟು ಸಮಸ್ಯೆಗಳನ್ನು ಎದುರಿಸುತ್ತಿದ್ದೇನೆ.",English,Kannada,E
do become a victim for this mobile .,ಈ ಮೊಬೈಲ್‌ಗೆ ಬಲಿಯಾಗಬೇಡಿ.,English,Kannada,E
no replacement from flipkart for software related issues .,ಸಾಫ್ಟ್‌ವೇರ್ ಸಂಬಂಧಿತ ಸಮಸ್ಯೆಗಳಿಗೆ ಫ್ಲಿಪ್‌ಕಾರ್ಟ್‌ನಿಂದ ಬದಲಿಯಾಗಿಲ್ಲ.,English,Kannada,E
the basic requirement of any mobile is communication .,ಯಾವುದೇ ಮೊಬೈಲ್‌ನ ಮೂಲಭೂತ ಅವಶ್ಯಕತೆ ಸಂವಹನವಾಗಿದೆ.,English,Kannada,E
this mobile has the problem even in that .,ಈ ಮೊಬೈಲ್‌ನಲ್ಲಿಯೂ ಸಹ ಸಮಸ್ಯೆ ಇದೆ.,English,Kannada,E
let me list the issues i see,ನನಗೆ ಕಾಣುವ ಸಮಸ್ಯೆಗಳನ್ನು ಪಟ್ಟಿ ಮಾಡುತ್ತೇನೆ.,English,Kannada,E
"1 ) my family members at times could not reach my mobile number , even though they try multiple time .",1) ನನ್ನ ಕುಟುಂಬ ಸದಸ್ಯರು ಹಲವು ಬಾರಿ ಪ್ರಯತ್ನಿಸಿದರೂ ಕೆಲವೊಮ್ಮೆ ನನ್ನ ಮೊಬೈಲ್ ಸಂಖ್ಯೆಯನ್ನು ತಲುಪಲು ಸಾಧ್ಯವಾಗಲಿಲ್ಲ.,English,Kannada,E
experiencing this issue after using this mobile .,ಈ ಮೊಬೈಲ್ ಬಳಸಿದ ನಂತರ ಈ ಸಮಸ್ಯೆಯನ್ನು ಎದುರಿಸುತ್ತಿದ್ದೇನೆ.,English,Kannada,E
display is very bad it &apos;s naturally damaged,ಪ್ರದರ್ಶನವು ತುಂಬಾ ಕೆಟ್ಟದಾಗಿದೆ ಮತ್ತು ಇದು ನೈಸರ್ಗಿಕವಾಗಿ ಹಾನಿಗೊಳಗಾಗಿದೆ.,English,Kannada,E
"many isaues such as flickering , multi touch issues .","ಮಿನುಗುವಿಕೆ, ಬಹು ಸ್ಪರ್ಶ ಸಮಸ್ಯೆಗಳಂತಹ ಹಲವು ಸಮಸ್ಯೆಗಳು.",English,Kannada,E
camera is pathetic. they did great marketing by youtube videos but believe me it is worst camera .,"ಕ್ಯಾಮೆರಾ ಶೋಚನೀಯ. ಅವರು ಯೂಟ್ಯೂಬ್ ವೀಡಿಯೊಗಳ ಮೂಲಕ ಉತ್ತಮ ಮಾರ್ಕೆಟಿಂಗ್ ಮಾಡಿದರು ಆದರೆ ನನ್ನನ್ನು ನಂಬಿರಿ, ಅದು ಅತ್ಯಂತ ಕೆಟ್ಟ ಕ್ಯಾಮೆರಾ.",English,Kannada,E
screen quality is pathetic .,ಪರದೆಯ ಗುಣಮಟ್ಟ ಶೋಚನೀಯವಾಗಿದೆ.,English,Kannada,E
i purchased it after watching youtube tutorial about it &apos;s glass but it just breaks .,ನಾನು  ಅದರ ಬಗ್ಗೆ ಯೂಟ್ಯೂಬ್ ಟ್ಯುಟೋರಿಯಲ್ ನೋಡಿದ ನಂತರ ಅದನ್ನು ಖರೀದಿಸಿದೆ. ಅದು ಗಾಜು ಆದರೆ ಅದು ಒಡೆಯಿತು.,English,Kannada,E
in 4 month of use my phone falls twice from 2 feet height and both time display broken .,ನನ್ನ ಫೋನ್  ನಾಲ್ಕು ತಿಂಗಳ ಬಳಕೆಯಲ್ಲಿ ಎರಡು ಬಾರಿ 2 ಅಡಿ ಎತ್ತರದಿಂದ ಬಿದ್ದಿದೆ ಮತ್ತು ಎರಡೂ ಬಾರಿ ಡಿಸ್ಪ್ಲೇ  ಮುರಿದುಹೋಯಿತು.,English,Kannada,E
i am fed up with this quality .,ನಾನು ಈ ಗುಣಮಟ್ಟದಿಂದ ಬೇಸತ್ತಿದ್ದೇನೆ.,English,Kannada,E
first of all let me talk about its design,ಮೊದಲಿಗೆ ನಾನು ಅದರ ವಿನ್ಯಾಸದ ಬಗ್ಗೆ ಮಾತನಾಡುತ್ತೇನೆ.,English,Kannada,E
metal body with rounded corners look is very good,ದುಂಡಾದ ಮೂಲೆಗಳನ್ನು ಹೊಂದಿರುವ ಲೋಹದ ಬಾಡಿ ತುಂಬಾ ಚೆನ್ನಾಗಿ ಕಾಣುತ್ತದೆ.,English,Kannada,E
durable also and a b + design,ಬಾಳಿಕೆ ಬರುವ ಮತ್ತು ab + ವಿನ್ಯಾಸ,English,Kannada,E
both cpu and gpu serves well with hd graphics for pubg,ಸಿಪಿಯು ಮತ್ತು ಜಿಪಿಯು ಎರಡೂ ಪಬ್‌ಜಿಗೆ ಎಚ್‌ಡಿ ಗ್ರಾಫಿಕ್ಸ್‌ನೊಂದಿಗೆ ಉತ್ತಮವಾಗಿ ಕಾರ್ಯನಿರ್ವಹಿಸುತ್ತವೆ.,English,Kannada,E
battery : - 5000 mah with 10hours plus sot with moderate usage and mild gaming,"ಬ್ಯಾಟರಿ:-5000 mah, 10 ಗಂಟೆಗಳಿಗಿಂತ ಹೆಚ್ಚಿನ ಸಾಟ್, ಮಧ್ಯಮ ಬಳಕೆ ಮತ್ತು ಸೌಮ್ಯ ಗೇಮಿಂಗ್.",English,Kannada,E
cameras : - worst 16 + 5 mp cameras but very worst in terms of performance portrait mode is also not automatic we need to adjust it manually that &apos;s a con,"ಕ್ಯಾಮೆರಾಗಳು:-ಕೆಟ್ಟ 16 + 5 mp ಕ್ಯಾಮೆರಾಗಳು ಆದರೆ ಕಾರ್ಯಕ್ಷಮತೆಯ ದೃಷ್ಟಿಯಿಂದ ತುಂಬಾ ಕೆಟ್ಟದಾಗಿದೆ, ಭಾವಚಿತ್ರ ಮೋಡ್ ಸಹ ಸ್ವಯಂಚಾಲಿತವಾಗಿಲ್ಲ, ನಾವು ಅದನ್ನು ಹಸ್ತಚಾಲಿತವಾಗಿ ಸರಿಹೊಂದಿಸಬೇಕಾಗಿದೆ ಅದು ಅನಾನುಕೂಲವಾಗಿದೆ.",English,Kannada,E
front camera is also not upto the mark,ಮುಂಭಾಗದ ಕ್ಯಾಮೆರಾ ಕೂಡ ಉತ್ತಮವಾಗಿಲ್ಲ.,English,Kannada,E
fantastic product from asus at competitive price in the market .,ಮಾರುಕಟ್ಟೆಯಲ್ಲಿ ಸ್ಪರ್ಧಾತ್ಮಕ ಬೆಲೆಗೆ ಆಸಸ್‌ನಿಂದ ಅದ್ಭುತ ಉತ್ಪನ್ನ.,English,Kannada,E
not show up net speed,ನಿವ್ವಳ ವೇಗ ತೋರಿಸುವುದಿಲ್ಲ.,English,Kannada,E
not a smart key like screen shot and more,ಸ್ಕ್ರೀನ್ ಶಾಟ್ ಮತ್ತು ಹೆಚ್ಚಿನವುಗಳಂತಹ ಸ್ಮಾರ್ಟ್ ಕೀ ಅಲ್ಲ.,English,Kannada,E
best buy till now .,ಇಲ್ಲಿಯವರೆಗೆ ಉತ್ತಮ ಖರೀದಿ.,English,Kannada,E
performance is awesome. pricing is very much accessible .,ಕಾರ್ಯಕ್ಷಮತೆ ಅದ್ಭುತವಾಗಿದೆ. ಬೆಲೆ ನಿಗದಿ ತುಂಬಾ ಸುಲಭ.,English,Kannada,E
most idiotic phone ever. absolute rubbish. hangs every time .,ಇದುವರೆಗಿನ ಅತ್ಯಂತ ಮೂರ್ಖ ಫೋನ್. ಸಂಪೂರ್ಣ ಕಸ. ಪ್ರತಿ ಬಾರಿಯೂ ಹ್ಯಾಂಗ್ ಆಗುತ್ತದೆ.,English,Kannada,E
recently problem with screen it freezes and to open i have to restart the phone .,ಇತ್ತೀಚೆಗೆ ಪರದೆಯಲ್ಲಿ ಸಮಸ್ಯೆ ಉಂಟಾಗಿ ಅದು ಹೆಪ್ಪುಗಟ್ಟುತ್ತಿದೆ ಮತ್ತು ತೆರೆಯಲು ನಾನು ಫೋನ್ ಅನ್ನು ಮರುಪ್ರಾರಂಭಿಸಬೇಕು.,English,Kannada,E
all my data contacts gone. cause hanging issue was so much that i had to factory reset the phone the problem still persists .,"ನನ್ನ ಎಲ್ಲಾ ಡೇಟಾ ಸಂಪರ್ಕಗಳು ಹೋಗಿವೆ. ಹ್ಯಾಂಗಿಂಗ್ ಸಮಸ್ಯೆ ತುಂಬಾ ಹೆಚ್ಚಾಗಿದ್ದರಿಂದ ಫೋನ್ ಅನ್ನು ಫ್ಯಾಕ್ಟರಿ ರೀಸೆಟ್ ಮಾಡಬೇಕಾಯಿತು, ಆದರೆ ಸಮಸ್ಯೆ ಇನ್ನೂ ಮುಂದುವರೆದಿದೆ.",English,Kannada,E
i am not a heavy gamer. hardly installed a few useful apps like flipkart. paytm uber. user interface and screen touch is very poor .,"ನಾನು ಹೆಚ್ಚು ಗೇಮರ್ ಅಲ್ಲ, ಫ್ಲಿಪ್‌ಕಾರ್ಟ್ ಪೇಟಿಎಂ ಉಬರ್ ಯೂಸರ್ ಇಂಟರ್ಫೇಸ್‌ನಂತಹ ಕೆಲವು ಉಪಯುಕ್ತ ಅಪ್ಲಿಕೇಶನ್‌ಗಳನ್ನು ಸ್ಥಾಪಿಸಿಲ್ಲ ಮತ್ತು ಸ್ಕ್ರೀನ್ ಟಚ್ ತುಂಬಾ ಕಳಪೆಯಾಗಿದೆ.",English,Kannada,E
i want my money back from asus company .,ನನಗೆ ಆಸಸ್ ಕಂಪನಿಯಿಂದ ಹಣ ವಾಪಸ್ ಬೇಕು.,English,Kannada,E
finger print scanner is very bad .,ಫಿಂಗರ್ ಪ್ರಿಂಟ್ ಸ್ಕ್ಯಾನರ್ ತುಂಬಾ ಕಳಪೆಯಾಗಿದೆ.,English,Kannada,E
display brokened in simple fall,ಪ್ರದರ್ಶನ ಸರಳ ಶರತ್ಕಾಲದಲ್ಲಿ ಮುರಿದುಹೋಗಿದೆ.,English,Kannada,E
extremely high end phone for professional .,ವೃತ್ತಿಪರರಿಗಾಗಿ ಅತ್ಯಂತ ಉನ್ನತ ಮಟ್ಟದ ಫೋನ್.,English,Kannada,E
"bought three months ago , no hanging , not at all slow , camera one of the best rocking camera , no one can bet this phone ever in this price range .","ಮೂರು ತಿಂಗಳ ಹಿಂದೆ ಖರೀದಿಸಲಾಗಿದೆ, ಹ್ಯಾಂಗಿಂಗ್ ಇಲ್ಲ, ಸ್ವಲ್ಪವೂ ನಿಧಾನವಾಗಿಲ್ಲ, ಕ್ಯಾಮೆರಾ ಅತ್ಯುತ್ತಮ ರಾಕಿಂಗ್ ಕ್ಯಾಮೆರಾಗಳಲ್ಲಿ ಒಂದಾಗಿದೆ, ಈ ಬೆಲೆಯ ವ್ಯಾಪ್ತಿಯಲ್ಲಿ ಈ ಫೋನ್ ಅನ್ನು ಯಾರೂ ಎಂದಿಗೂ ಬಾಜಿ ಕಟ್ಟಲು ಸಾಧ್ಯವಿಲ್ಲ.",English,Kannada,E
it &apos;s a mother of all phones .,ಇದು ಎಲ್ಲಾ ಫೋನ್‌ಗಳ ತಾಯಿ.,English,Kannada,E
"best ever 6gb phone phone , smooth performance , excellent performance , it &apos;s amazing .","ಇದುವರೆಗಿನ ಅತ್ಯುತ್ತಮ 6gb ಫೋನ್ ಫೋನ್, ಸುಗಮ ಕಾರ್ಯಕ್ಷಮತೆ, ಅತ್ಯುತ್ತಮ ಕಾರ್ಯಕ್ಷಮತೆ, ಇದು ಅದ್ಭುತವಾಗಿದೆ.",English,Kannada,E
go for this phone .,ಈ ಫೋನ್ ಕೊಂಡುಕೋ.,English,Kannada,E
lot of bugs and software issues .,ಬಹಳಷ್ಟು ದೋಷಗಳು ಮತ್ತು ಸಾಫ್ಟ್‌ವೇರ್ ಸಮಸ್ಯೆಗಳು.,English,Kannada,E
"camera performance poor , no galley , no scanner , no call recording , no return and refund , battery performance much better , when we are using redmi phone we can &apos;t accept this one , sound problems also , some time no ring","ಕ್ಯಾಮೆರಾ ಕಾರ್ಯಕ್ಷಮತೆ ಕಳಪೆಯಾಗಿದೆ, ಗ್ಯಾಲಿ ಇಲ್ಲ, ಸ್ಕ್ಯಾನರ್ ಇಲ್ಲ, ಕರೆ ರೆಕಾರ್ಡಿಂಗ್ ಇಲ್ಲ, ರಿಟರ್ನ್ ಮತ್ತು ಮರುಪಾವತಿ ಇಲ್ಲ, ಬ್ಯಾಟರಿ ಕಾರ್ಯಕ್ಷಮತೆ ಹೆಚ್ಚು ಉತ್ತಮವಾಗಿದೆ, ನಾವು ರೆಡ್‌ಮಿ ಫೋನ್ ಬಳಸುತ್ತಿರುವಾಗ ನಾವು ಇದನ್ನು ಸ್ವೀಕರಿಸಲು ಸಾಧ್ಯವಿಲ್ಲ, ಧ್ವನಿ ಸಮಸ್ಯೆಗಳೂ ಸಹ ಇರುತ್ತವೆ, ಕೆಲವೊಮ್ಮೆ ರಿಂಗ್ ಆಗುವುದಿಲ್ಲ.",English,Kannada,E
"mobile is nice , camera quality is average , battery is awesome , screen quality is good , but some times finger print is not working { lagaging } , giving review after 5 months. hope this review useful to all","ಮೊಬೈಲ್ ಚೆನ್ನಾಗಿದೆ, ಕ್ಯಾಮೆರಾ ಗುಣಮಟ್ಟ ಸಾಧಾರಣವಾಗಿದೆ, ಬ್ಯಾಟರಿ ಅದ್ಭುತವಾಗಿದೆ, ಪರದೆಯ ಗುಣಮಟ್ಟ ಚೆನ್ನಾಗಿದೆ, ಆದರೆ ಕೆಲವು ಬಾರಿ ಫಿಂಗರ್ ಪ್ರಿಂಟ್ ಕೆಲಸ ಮಾಡುತ್ತಿಲ್ಲ {lagaging }, 5 ತಿಂಗಳ ನಂತರ ವಿಮರ್ಶೆ ನೀಡುತ್ತಿದ್ದೇನೆ. ಈ ವಿಮರ್ಶೆ ಎಲ್ಲರಿಗೂ ಉಪಯುಕ್ತವಾಗಿದೆ ಎಂದು ಭಾವಿಸುತ್ತೇನೆ.",English,Kannada,E
i am very happy with it &apos;s very nice allrounder performance,ನನಗೆ ತುಂಬಾ ಸಂತೋಷವಾಗಿದೆ & ತುಂಬಾ ಉತ್ತಮ ಆಲ್‌ರೌಂಡರ್ ಪ್ರದರ್ಶನ.,English,Kannada,E
"at the time of writing , all is good .","ಬರೆಯುವ ಸಮಯದಲ್ಲಿ, ಎಲ್ಲವೂ ಚೆನ್ನಾಗಿದೆ.",English,Kannada,E
is not good battery backup is nice but overall performance is very bad. dont buy it in this price,ಬ್ಯಾಟರಿ ಬ್ಯಾಕಪ್ ಉತ್ತಮವಾಗಿಲ್ಲ ಆದರೆ ಒಟ್ಟಾರೆ ಕಾರ್ಯಕ್ಷಮತೆ ತುಂಬಾ ಕೆಟ್ಟದಾಗಿದೆ. ಈ ಬೆಲೆಗೆ ಅದನ್ನು ಖರೀದಿಸಬೇಡಿ.,English,Kannada,E
good for gaming and many purposes,ಗೇಮಿಂಗ್ ಮತ್ತು ಅನೇಕ ಉದ್ದೇಶಗಳಿಗಾಗಿ ಒಳ್ಳೆಯದು.,English,Kannada,E
they gave me trashy phone and didn &apos;t change my piece tell me to go to service centre .,"ಅವರು ನನಗೆ ಕಳಪೆ ಫೋನ್ ಕೊಟ್ಟರು ಮತ್ತು ನನ್ನ ತುಂಡನ್ನು ಬದಲಾಯಿಸಲಿಲ್ಲ,ನನಗೆ  ಸೇವಾ ಕೇಂದ್ರಕ್ಕೆ ಹೋಗಲು ಹೇಳಿದರು.",English,Kannada,E
why should i go to service center and why can &apos;t you give me a good piece ?,ನಾನು ಸೇವಾ ಕೇಂದ್ರಕ್ಕೆ ಏಕೆ ಹೋಗಬೇಕು ಮತ್ತು ನೀವು ನನಗೆ ಒಳ್ಳೆಯ ತುಂಡನ್ನು ಏಕೆ ನೀಡಲು ಸಾಧ್ಯವಿಲ್ಲ?,English,Kannada,E
worst service ever total fraud .,"ಇದುವರೆಗಿನ ಕೆಟ್ಟ ಸೇವೆ, ಸಂಪೂರ್ಣ ವಂಚನೆ.",English,Kannada,E
it &apos;s hang many time even it has 6 gb ram .,6 ಜಿಬಿ RAM ಇದ್ದರೂ ಸಹ ಇದು ಹಲವು ಬಾರಿ ಸ್ಥಗಿತಗೊಳ್ಳುತ್ತದೆ.,English,Kannada,E
this is my 2nd asus smartphone within 3 years .,"ನನ್ನ 3 ವರ್ಷಗಳಲ್ಲಿ,ಇದು  2 ನೇ ಆಸಸ್ ಸ್ಮಾರ್ಟ್‌ಫೋನ್ ಆಗಿದೆ.",English,Kannada,E
